ID,score,COLPREP,DIS_COH,LOGDTA,LOGDTU,NSQG,NSQM,NSQU,NWF_MEDIAN,SVF,WORDLN_2
48,3,0.609727516,-0.176534091,4.58156032,1.791759469,-0.119061328,-0.159991467,-0.071550359,-54.11571129,4.131959239,5.476109215
49,1,0.5690625,-0.420463124,3.060270795,1.791759469,-0.156240197,-0.088388348,-0.088388348,-56.66076379,3.490660199,5.5703125
50,4,0.631015615,-0.648166544,4.587878689,1.945910149,-0.137379957,-0.093385921,-0.066033818,-62.71414125,4.606241918,4.597383721
51,2,0.628994739,-0.430513803,3.91949502,2.079441542,-0.161069976,-0.099627096,-0.086279596,-66.46240451,3.708625305,4.46898263
52,2,0.577290926,0.05155398,4.675162558,2.079441542,-0.175854477,-0.186989398,-0.113227703,-57.195633,4.152462188,5.421911422
53,2,0.510840097,-0.196880503,3.723280881,1.609437912,-0.163525712,-0.120385853,-0.069504805,-65.67922621,2.926795302,4.173913043
54,2,0.535906846,-0.595437447,4.394449155,1.386294361,-0.177478003,0,-0.07856742,-59.78563659,4.106153522,4.904320988
55,2,0.551549246,-0.702167017,4.250873364,1.791759469,-0.139785322,-0.119380825,-0.084414991,-67.93312742,3.078394906,3.752969121
56,1,0.877885281,0.067443884,3.90197267,2.302585093,-0.183764168,-0.127128345,-0.077849894,-58.54714249,4.248635101,5.218181818
57,2,0.594613846,-0.425893511,3.668676747,2.708050201,-0.119928148,-0.193429486,-0.08247861,-59.77722959,4.06106464,4.836734694
58,1,0.458018443,0.020558742,3.194583132,1.609437912,-0.196592647,-0.181071492,-0.090535746,-61.89822168,2.558787925,4.475409836
59,2,0.517870963,0.38234909,3.919685878,2.564949357,-0.185436065,-0.174740811,-0.078146467,-58.59477885,4.064601035,5.167938931
60,3,0.54901841,-0.198475968,4.187759007,2.079441542,-0.14930338,-0.137750978,-0.06160411,-64.21370835,3.117344337,4.229601518
61,3,0.58941602,-0.666758152,4.585987367,2.302585093,-0.121360205,-0.090304728,-0.071392156,-63.77552017,4.602801662,4.49745158
62,1,0.512634928,-0.610846791,4.257973986,1.791759469,-0.100119203,-0.118957738,-0.097128586,-56.14117241,3.698578026,4.485849057
63,1,0.603829871,-0.393779582,4.374498368,2.302585093,-0.127090154,-0.100377123,-0.086929138,-56.00645309,4.176128957,4.748110831
64,3,0.552242951,-1.630229586,4.185606154,2.708050201,-0.126134072,-0.171498585,-0.071210911,-63.63742818,3.632002395,4.414807302
65,1,0.637858228,-0.340152792,3.270835564,1.791759469,-0.196097821,-0.177892017,0,-59.50149481,3.497403075,4.905063291
66,4,0.610725355,-1.046794407,4.220557574,2.63905733,-0.101242525,-0.085704292,-0.072433347,-65.08998719,3.521379278,4.334732424
67,2,0.505940144,-0.559409618,4.148411783,2.48490665,-0.123329285,-0.166227492,-0.120306626,-58.03851282,3.943791276,4.798684211
68,3,0.669423004,0.326898771,3.984343667,2.079441542,-0.124806631,-0.118124885,-0.048224282,-60.31215067,4.524411947,4.68372093
69,3,0.570197897,-0.840836201,4.143134726,2.197224577,-0.129761283,-0.083992105,-0.041996053,-64.740615,3.521195116,4.310405644
70,4,0.617825343,-0.747062883,4.447053318,2.079441542,-0.128884042,-0.153055746,-0.038263937,-65.72898357,3.857616216,4.254758419
71,4,0.638787879,-0.962994908,3.976080642,2.564949357,-0.110965798,-0.131590339,-0.037986859,-66.36665837,3.708196995,4.334776335
72,2,0.643181818,-0.325076228,2.995732274,1.791759469,-0.193162356,0,0,-62.31973036,2.029561121,4.375
73,2,0.47263675,-0.342717798,3.819542153,2.48490665,-0.150243409,-0.113124157,-0.060467406,-61.39523477,3.546687674,4.391224863
74,4,0.616094087,-0.310975337,4.098502572,2.079441542,-0.16422659,-0.136646256,-0.078892752,-65.57928191,4.013042366,4.417012448
75,1,0.470793388,0.060837536,3.004031076,1.791759469,-0.180523713,-0.314918329,-0.090909091,-63.51255931,3.065381192,4.685950413
76,1,0.787282051,-1.971837219,3.663561646,0,-0.160398643,-0.160128154,0,-64.83962558,1.810281313,4.717948718
77,0,0.6826625,-0.494703409,4.158883083,0.693147181,-0.128778445,-0.088388348,0,-66.46240451,2.765133559,4.15625
78,2,0.59397028,0.258259366,4.276666119,1.945910149,-0.12985314,-0.140859042,-0.125988158,-60.18330786,3.600799347,4.376984127
79,2,0.683895833,-0.647758125,3.999034382,2.397895273,-0.155213772,-0.108012345,-0.040824829,-57.60841137,4.072782834,5.74
80,3,0.544158143,0.259414659,3.968403339,2.302585093,-0.168557235,-0.122975092,-0.097220347,-57.04851349,4.005164722,5.59168242
81,3,0.691628632,0.021441522,4.244591529,2.397895273,-0.121828068,-0.088445948,-0.051064292,-57.69812662,3.993412002,4.976531943
82,3,0.621399062,-0.213291741,3.538886784,1.945910149,-0.172739932,-0.170427824,-0.064415663,-58.79706313,3.275832886,4.755186722
83,1,0.445054545,-0.671859201,3.496507561,0.693147181,-0.244297215,-0.213200716,0,-60.87378533,3.057145207,5.060606061
84,2,0.639650746,-0.257382871,3.106080331,1.098612289,-0.24033997,-0.122169444,0,-61.61847435,2.544590916,5.164179104
85,2,0.583407957,-0.030630616,4.118133424,2.197224577,-0.134362889,-0.147308585,-0.127572977,-61.69901723,3.881516886,4.596745027
86,3,0.537750139,-1.245374577,5.702114418,0.693147181,-0.134397409,-0.070769677,-0.070769677,-66.22884674,3.789708323,4.151919866
87,3,0.592643449,-1.202588103,4.032196344,2.564949357,-0.12268593,-0.10447034,-0.073871686,-65.97741766,3.654037595,4.145975443
88,3,0.546320653,-0.249175967,4.295923936,2.302585093,-0.118307228,-0.097656463,-0.082534775,-64.2235846,3.907328634,4.561307902
89,3,0.526893116,-0.868702999,3.828641396,1.791759469,-0.088847376,-0.104257207,0,-62.23685008,3.382913941,4.442028986
90,2,0.655672631,-0.278367577,3.983678994,1.945910149,-0.157756974,-0.154713187,-0.0893237,-56.63893399,4.331975013,5.042553191
91,1,0.616304598,-0.2822743,2.856470206,1.609437912,-0.209421329,-0.214422507,0,-62.31824826,1.84276634,4.850574713
92,3,0.549489449,0.525595826,4.144354983,2.564949357,-0.135570872,-0.110431526,-0.104764544,-59.69069332,3.321613389,4.482926829
93,1,0.596961722,0.129070019,3.860729711,0.693147181,-0.247245159,-0.229415734,-0.177704663,-66.31879512,2.439860204,4.252631579
94,1,0.46032251,0.110649215,3.73369347,1.791759469,-0.126350973,-0.154610422,0,-62.32043422,3.976721394,4.661354582
95,3,0.406297923,-0.675780536,4.110873864,2.197224577,-0.11939323,-0.120714328,-0.095433056,-63.18419437,3.9182067,4.626593807
96,2,0.719185652,0.031858963,3.808512629,2.48490665,-0.184764771,-0.10531179,-0.10531179,-58.69889411,4.105513814,5.687615527
97,2,0.673738114,0.820701744,5.394763265,1.386294361,-0.106012803,-0.279857269,-0.033690856,-57.61592003,3.760447829,4.843359818
98,2,0.551649059,-0.227069027,4.110873864,2.079441542,-0.147642801,-0.090535746,-0.12803688,-63.21280805,3.920033338,4.342213115
99,2,0.670252008,-1.056625022,3.502549876,1.609437912,-0.136251004,-0.21952852,-0.10976426,-63.30698959,3.539852656,4.385542169
100,1,0.681578366,0.181950089,3.803880847,2.079441542,-0.145314141,-0.074639337,-0.105555963,-66.95140709,3.134208626,4.186629526
101,2,0.585928744,0.092213909,3.679460232,2.079441542,-0.132166376,-0.097281665,-0.112331191,-56.87728317,3.49860092,4.996845426
102,3,0.644491141,0.007106663,3.826663156,2.397895273,-0.115047875,-0.062931678,-0.088998832,-57.57828962,3.286017728,5.003960396
103,1,0.612492662,-0.535526811,5.223054882,0.693147181,-0.128090397,-0.194257172,-0.051917413,-66.9764296,3.176153059,4.09703504
104,2,0.635058726,0.411825921,4.207177093,2.48490665,-0.11585105,-0.099627096,-0.13642002,-53.70857846,4.170520584,5.439205955
105,2,0.465409665,0.061517953,3.397486802,2.197224577,-0.180246622,-0.121942152,0,-62.31824826,2.651734731,4.672862454
106,0,0.216,0.133898663,2.140066163,1.386294361,-0.385261121,-0.242535625,0,-57.34259554,2.243881949,7.088235294
107,3,0.638031618,-0.569542725,4.833632899,1.791759469,-0.120533394,-0.072835704,-0.036417852,-66.26211661,3.64865414,4.143236074
108,1,0.573105859,-0.37363713,4.007333185,2.197224577,-0.180726692,-0.149071198,-0.077849894,-60.80518114,3.848518642,5.113131313
109,2,0.70061122,-0.122929004,4.039145013,2.197224577,-0.136663948,-0.117041147,0,-56.72898354,4.203853709,5.17221135
110,2,0.481353139,-0.056968967,4.216562195,1.609437912,-0.155464406,-0.054312545,-0.076809537,-64.11027739,3.598919603,4.315634218
111,1,0.535769231,-0.665290985,3.075774981,1.098612289,-0.243570582,-0.175411604,-0.124034735,-64.24835812,2.184375104,4.446153846
112,2,0.603187201,-0.170435957,3.396424103,1.945910149,-0.137808107,0,-0.097823198,-64.83962558,3.050029566,4.253588517
113,1,0.783319588,-0.49432575,3.47609869,1.791759469,-0.172968747,-0.124354001,-0.101534617,-56.18356487,2.860368356,4.81443299
114,2,0.618341796,0.84271028,4.53044664,2.302585093,-0.128905387,-0.17057206,-0.10380685,-60.48655771,3.658548279,4.565732759
115,3,0.60722969,-0.239229273,3.940834703,2.564949357,-0.114994734,-0.054676655,-0.066964953,-57.59841756,4.510950276,5.016442451
116,3,0.693682582,-0.160198727,3.793614774,2.48490665,-0.12249172,-0.086629616,-0.075023448,-64.29927947,3.681455201,4.718574109
117,3,0.606170817,-0.36921705,3.592735594,1.791759469,-0.119503379,-0.067728546,-0.151445633,-62.20988139,3.559993587,4.444954128
118,2,0.659785288,-1.176467883,4.428830701,1.791759469,-0.104014382,-0.166832257,-0.099701343,-67.86079105,3.603862112,3.928429423
119,4,0.482498928,-0.066371433,4.217872382,2.197224577,-0.123602782,-0.090461628,-0.057212957,-55.82399475,4.08471005,4.823240589
120,1,0.506706889,-0.583012698,4.119037175,2.302585093,-0.145907797,-0.14538986,-0.057026595,-61.14449041,3.774588079,4.689430894
121,3,0.607630187,-0.751642358,3.995695481,2.397895273,-0.103910632,-0.057831493,-0.057831493,-62.31824826,3.635498775,4.632107023
122,3,0.672826106,-0.550823433,3.956039891,2.079441542,-0.135739364,-0.084717374,-0.048911599,-60.47279472,4.465943592,4.523923445
123,3,0.561883322,-0.688287305,4.229957121,1.945910149,-0.111052635,-0.128965176,0,-66.95140709,3.440320271,3.964656965
124,1,0.653535655,0.302775448,3.288401888,1.609437912,-0.17159788,-0.211603685,-0.086386843,-62.81464691,3.15161487,4.462686567
125,2,0.61345045,-0.103290861,3.898599985,1.791759469,-0.142543204,-0.142373699,-0.058123819,-65.25801132,2.722924,4.35472973
126,1,0.521325062,-0.090155119,3.251665648,1.791759469,-0.187555797,-0.196747751,0,-65.08135517,3.418609015,4.75483871
